DASYLab - V 4.02.22
WORKSHEET          : VOLVOHR04_VER2
Recording Date     : 2009-03-31, 10:53:53
Block Length       : 256
Delta              : 0.002000 sec.
Number of Channels : 12
Time	Yaw [rad/s]	Pitch [rad/s]	Roll [rad/s]	Xacc [m/s²]	Zacc [m/s²]	Yacc [m/s²]	Strwhlangle [rad]	Speed [m/s]	Slip [rad]	Pulse []	Servopressure []	Strwhlmoment []	
0.000	0.0142	0.0044	0.0051	-0.2001	0.1175	-0.0169	-0.0898	13.6702	0.0045	-1.8701	2.1999	2.5482	
0.002	-0.0014	0.0046	0.0042	-0.2288	0.1028	0.0096	-0.0895	13.5498	0.0041	-1.0316	2.2001	2.5486	
0.004	-0.0022	0.0044	0.0044	-0.2007	0.1223	-0.0052	-0.0886	13.8397	0.0038	-0.8784	2.2013	2.5509	
0.006	-0.0021	0.0040	0.0046	-0.2031	0.1199	0.0231	-0.0866	14.0008	0.0034	-0.8846	2.2049	2.5581	
0.008	-0.0047	0.0027	0.0025	-0.2001	0.1205	0.0170	-0.0834	14.0517	0.0038	-0.8722	2.2127	2.5735	
0.010	-0.0018	0.0047	0.0032	-0.1989	0.1236	0.0028	-0.0800	14.1992	0.0032	-0.8688	2.2261	2.6001	
0.012	-0.0022	0.0048	0.0016	-0.2245	0.1040	0.0207	-0.0769	14.1619	0.0042	-0.8685	2.2463	2.6401	
0.014	-0.0023	0.0052	0.0019	-0.1933	0.1236	0.0040	-0.0738	13.9194	0.0030	-0.8749	2.2740	2.6950	
0.016	-0.0021	0.0046	0.0029	-0.1964	0.1315	0.0318	-0.0701	13.9771	0.0015	-0.9064	2.3095	2.7655	
0.018	-0.0048	0.0036	-0.0000	-0.1933	0.1400	0.0219	-0.0655	14.1975	0.0001	-0.8893	2.3527	2.8514	
0.020	-0.0023	0.0060	0.0010	-0.1909	0.1315	0.0053	-0.0612	14.2534	0.0017	-0.8665	2.4034	2.9521	
0.022	-0.0016	0.0055	-0.0001	-0.2044	0.1175	0.0349	-0.0576	13.9482	0.0009	-0.8771	2.4611	3.0668	
0.024	-0.0027	0.0057	-0.0004	-0.1866	0.1529	0.0305	-0.0542	13.9245	0.0002	-0.8809	2.5252	3.1943	
0.026	-0.0017	0.0063	-0.0017	-0.1652	0.1584	0.0416	-0.0513	14.0093	0.0008	-0.8945	2.5949	3.3326	
0.028	-0.0022	0.0047	-0.0033	-0.1940	0.1620	0.0472	-0.0488	14.0093	-0.0005	-0.9088	2.6691	3.4801	
0.030	-0.0019	0.0071	-0.0014	-0.1829	0.1883	0.0725	-0.0472	14.1144	-0.0011	-0.8757	2.7467	3.6345	
0.032	-0.0018	0.0079	-0.0018	-0.1952	0.1755	0.1008	-0.0465	13.9177	-0.0012	-0.9009	2.8269	3.7939	
0.034	-0.0044	0.0063	-0.0020	-0.1982	0.1999	0.0854	-0.0458	13.7906	-0.0011	-0.9044	2.9085	3.9562	
0.036	-0.0028	0.0079	-0.0019	-0.2086	0.2353	0.1021	-0.0453	13.7685	-0.0002	-0.9041	2.9906	4.1197	
0.038	-0.0029	0.0077	-0.0041	-0.2184	0.2176	0.1119	-0.0452	14.0618	0.0003	-0.8833	3.0722	4.2822	
0.040	-0.0027	0.0083	-0.0023	-0.1933	0.2438	0.1126	-0.0452	14.2636	0.0011	-0.8640	3.1525	4.4421	
0.042	-0.0040	0.0088	-0.0014	-0.1921	0.2475	0.1551	-0.0446	14.0906	0.0009	-0.8891	3.2308	4.5981	
0.044	-0.0055	0.0070	-0.0026	-0.1915	0.2578	0.1415	-0.0432	14.0008	0.0010	-0.8855	3.3065	4.7491	
0.046	-0.0029	0.0087	-0.0015	-0.2117	0.2664	0.1317	-0.0419	13.7244	-0.0005	-0.8913	3.3791	4.8938	
0.048	-0.0023	0.0083	-0.0027	-0.2307	0.2420	0.1520	-0.0411	14.1432	-0.0015	-0.8960	3.4480	5.0312	
0.050	-0.0030	0.0090	-0.0021	-0.2056	0.2591	0.1348	-0.0406	14.0906	0.0015	-0.8641	3.5128	5.1605	
0.052	-0.0012	0.0080	-0.0018	-0.1946	0.2475	0.1397	-0.0399	13.7872	0.0007	-0.8919	3.5731	5.2809	
0.054	-0.0018	0.0064	-0.0033	-0.2080	0.2444	0.1206	-0.0388	14.0398	0.0026	-0.8813	3.6288	5.3921	
0.056	-0.0017	0.0088	-0.0010	-0.1933	0.2316	0.1076	-0.0382	13.9703	0.0025	-0.8594	3.6798	5.4936	
0.058	-0.0008	0.0099	-0.0010	-0.1982	0.2145	0.1360	-0.0380	14.0245	0.0035	-0.8826	3.7258	5.5853	
0.060	-0.0042	0.0088	-0.0007	-0.1964	0.2249	0.1002	-0.0378	14.1602	0.0025	-0.8768	3.7669	5.6673	
0.062	-0.0013	0.0093	0.0008	-0.2239	0.2224	0.0910	-0.0378	13.9618	0.0022	-0.8823	3.8032	5.7396	
0.064	-0.0011	0.0091	-0.0000	-0.2466	0.1791	0.0953	-0.0382	14.1076	0.0007	-0.8865	3.8348	5.8027	
0.066	-0.0018	0.0094	0.0017	-0.2300	0.1736	0.0743	-0.0386	13.8262	0.0009	-0.8649	3.8618	5.8567	
0.068	-0.0004	0.0079	0.0032	-0.2294	0.1486	0.0799	-0.0383	14.1161	0.0005	-0.8911	3.8845	5.9021	
0.070	-0.0019	0.0059	0.0018	-0.2447	0.1278	0.0712	-0.0371	14.3263	-0.0008	-0.8673	3.9032	5.9395	
0.072	-0.0010	0.0089	0.0029	-0.2294	0.1083	0.0848	-0.0359	13.9974	-0.0006	-0.8681	3.9181	5.9693	
0.074	-0.0024	0.0104	0.0042	-0.2337	0.0839	0.1033	-0.0352	14.0093	0.0004	-0.9045	3.9296	5.9925	
0.076	-0.0039	0.0080	0.0046	-0.2313	0.0741	0.0725	-0.0342	14.0754	-0.0007	-0.9071	3.9380	6.0094	
0.078	-0.0010	0.0092	0.0067	-0.2441	0.0662	0.0719	-0.0332	14.0500	-0.0023	-0.9081	3.9436	6.0206	
0.080	-0.0014	0.0086	0.0049	-0.2563	0.0369	0.0928	-0.0323	13.8601	-0.0051	-0.9154	3.9466	6.0267	
0.082	-0.0016	0.0088	0.0079	-0.2307	0.0369	0.0873	-0.0314	13.9330	-0.0026	-0.8904	3.9473	6.0282	
0.084	-0.0010	0.0076	0.0101	-0.2337	0.0284	0.1138	-0.0298	13.9448	-0.0029	-0.9094	3.9460	6.0255	
0.086	-0.0029	0.0062	0.0092	-0.2355	0.0253	0.1064	-0.0276	14.1771	-0.0018	-0.8852	3.9427	6.0190	
0.088	-0.0017	0.0084	0.0104	-0.2221	0.0076	0.0928	-0.0257	14.0754	-0.0018	-0.8829	3.9379	6.0093	
0.090	0.0004	0.0081	0.0106	-0.2380	-0.0138	0.1206	-0.0243	13.9754	-0.0009	-0.8926	3.9318	5.9970	
0.092	-0.0021	0.0074	0.0120	-0.2264	0.0186	0.1002	-0.0231	13.9058	-0.0023	-0.8917	3.9247	5.9825	
0.094	-0.0005	0.0082	0.0117	-0.2129	0.0204	0.0885	-0.0223	13.9381	-0.0026	-0.9216	3.9168	5.9663	
0.096	-0.0008	0.0065	0.0109	-0.2404	0.0284	0.0725	-0.0218	14.1449	-0.0024	-0.8992	3.9082	5.9488	
0.098	-0.0009	0.0080	0.0138	-0.2368	0.0515	0.0811	-0.0218	14.2212	-0.0019	-0.8963	3.8991	5.9304	
0.100	-0.0005	0.0096	0.0137	-0.2362	0.0448	0.0860	-0.0222	13.8499	-0.0026	-0.8995	3.8899	5.9115	
0.102	-0.0033	0.0074	0.0144	-0.2313	0.0741	0.0386	-0.0225	14.0313	-0.0034	-0.8939	3.8806	5.8926	
0.104	-0.0009	0.0087	0.0155	-0.2472	0.1034	0.0275	-0.0229	13.8889	-0.0038	-0.8986	3.8715	5.8740	
0.106	-0.0007	0.0075	0.0134	-0.2563	0.0918	0.0114	-0.0238	14.2076	-0.0022	-0.9131	3.8625	5.8558	
0.108	-0.0006	0.0083	0.0160	-0.2331	0.1083	-0.0003	-0.0248	14.1873	-0.0031	-0.8978	3.8539	5.8384	
0.110	-0.0013	0.0088	0.0167	-0.2374	0.1071	-0.0058	-0.0253	14.3212	-0.0036	-0.8974	3.8458	5.8221	
0.112	-0.0027	0.0057	0.0158	-0.2337	0.1181	-0.0459	-0.0249	14.2398	-0.0012	-0.8929	3.8385	5.8072	
0.114	-0.0004	0.0078	0.0174	-0.2441	0.1205	-0.0675	-0.0243	13.9652	-0.0010	-0.9171	3.8319	5.7941	
0.116	-0.0006	0.0071	0.0154	-0.2692	0.1101	-0.0576	-0.0242	14.1076	-0.0006	-0.8951	3.8264	5.7829	
0.118	0.0000	0.0072	0.0165	-0.2380	0.1260	-0.0632	-0.0242	14.1652	-0.0020	-0.8917	3.8217	5.7735	
0.120	-0.0010	0.0086	0.0168	-0.2362	0.1132	-0.0496	-0.0241	14.1466	-0.0040	-0.9033	3.8180	5.7661	
0.122	-0.0020	0.0061	0.0161	-0.2239	0.1138	-0.0755	-0.0233	13.9889	-0.0038	-0.9122	3.8151	5.7605	
0.124	0.0001	0.0077	0.0159	-0.2245	0.1266	-0.0718	-0.0227	14.0228	-0.0031	-0.9177	3.8131	5.7565	
0.126	0.0002	0.0055	0.0138	-0.2404	0.0998	-0.0706	-0.0225	14.0533	-0.0016	-0.9140	3.8118	5.7539	
0.128	-0.0000	0.0061	0.0158	-0.2221	0.1083	-0.0589	-0.0229	13.9262	-0.0025	-0.8798	3.8110	5.7525	
0.130	0.0012	0.0064	0.0157	-0.2307	0.0674	-0.0552	-0.0235	14.1652	-0.0031	-0.8965	3.8107	5.7521	
0.132	-0.0008	0.0049	0.0148	-0.2233	0.0857	-0.0693	-0.0240	13.9771	-0.0024	-0.8745	3.8110	5.7526	
0.134	0.0002	0.0065	0.0133	-0.2062	0.0882	-0.0619	-0.0247	14.0347	-0.0014	-0.9172	3.8116	5.7539	
0.136	0.0001	0.0036	0.0110	-0.2307	0.0711	-0.0589	-0.0255	14.0245	-0.0012	-0.9163	3.8126	5.7559	
0.138	0.0010	0.0048	0.0129	-0.2209	0.0882	-0.0311	-0.0265	13.9465	-0.0012	-0.8876	3.8138	5.7585	
0.140	-0.0006	0.0063	0.0120	-0.2184	0.0638	-0.0114	-0.0275	14.0160	0.0009	-0.8882	3.8152	5.7613	
0.142	-0.0001	0.0039	0.0115	-0.2117	0.0686	-0.0398	-0.0281	13.9652	0.0008	-0.8769	3.8167	5.7643	
0.144	0.0009	0.0050	0.0095	-0.2019	0.0760	-0.0305	-0.0286	14.0025	0.0023	-0.8873	3.8182	5.7674	
0.146	0.0006	0.0027	0.0073	-0.2233	0.0546	-0.0274	-0.0293	13.9974	0.0023	-0.9032	3.8196	5.7704	
0.148	0.0010	0.0040	0.0090	-0.2080	0.0699	-0.0071	-0.0301	13.9991	0.0028	-0.8705	3.8209	5.7732	
0.150	0.0014	0.0041	0.0081	-0.2123	0.0387	0.0083	-0.0312	14.0296	0.0020	-0.8859	3.8221	5.7757	
0.152	-0.0002	0.0031	0.0075	-0.2062	0.0552	-0.0083	-0.0318	13.9618	0.0008	-0.8727	3.8230	5.7778	
0.154	0.0013	0.0039	0.0053	-0.1921	0.0540	0.0003	-0.0322	13.9703	0.0001	-0.8900	3.8237	5.7794	
0.156	0.0006	0.0011	0.0036	-0.2154	0.0479	0.0028	-0.0325	14.0601	0.0001	-0.8815	3.8242	5.7805	
0.158	0.0011	0.0032	0.0045	-0.2135	0.0680	0.0250	-0.0328	13.9635	0.0014	-0.8727	3.8245	5.7810	
0.160	0.0001	0.0046	0.0039	-0.2148	0.0564	0.0472	-0.0330	14.1669	0.0023	-0.8916	3.8245	5.7812	
0.162	-0.0015	0.0015	0.0020	-0.2129	0.0735	0.0262	-0.0324	13.8940	0.0025	-0.8856	3.8244	5.7809	
0.164	0.0011	0.0025	0.0025	-0.2270	0.0906	0.0293	-0.0313	13.7939	0.0026	-0.8713	3.8241	5.7802	
0.166	0.0006	0.0021	-0.0009	-0.2496	0.0699	0.0416	-0.0303	14.0618	0.0020	-0.8742	3.8236	5.7790	
0.168	0.0012	0.0023	-0.0000	-0.2172	0.0998	0.0392	-0.0293	14.1093	0.0030	-0.8539	3.8228	5.7774	
0.170	0.0013	0.0012	0.0010	-0.2154	0.0949	0.0515	-0.0277	14.1279	0.0036	-0.8632	3.8220	5.7754	
0.172	0.0011	-0.0017	-0.0032	-0.2184	0.0912	0.0435	-0.0250	14.1076	0.0034	-0.8604	3.8211	5.7734	
0.174	0.0022	0.0014	-0.0031	-0.2037	0.0863	0.0478	-0.0222	13.6787	0.0040	-0.8650	3.8203	5.7714	
0.176	0.0033	0.0013	-0.0043	-0.2221	0.0613	0.0725	-0.0200	13.7973	0.0039	-0.8899	3.8195	5.7695	
0.178	0.0018	0.0008	-0.0049	-0.2154	0.0821	0.0558	-0.0182	13.9737	0.0023	-0.8704	3.8186	5.7674	
0.180	0.0024	0.0016	-0.0070	-0.2080	0.0912	0.0614	-0.0169	13.9771	0.0039	-0.8748	3.8176	5.7650	
0.182	0.0018	0.0007	-0.0087	-0.2386	0.0705	0.0762	-0.0161	14.1144	0.0025	-0.8736	3.8164	5.7622	
0.184	0.0023	0.0008	-0.0078	-0.2141	0.0778	0.0904	-0.0157	13.6871	0.0036	-0.8746	3.8151	5.7594	
0.186	0.0022	0.0021	-0.0087	-0.2044	0.0552	0.1206	-0.0153	13.7160	0.0035	-0.8980	3.8137	5.7564	
0.188	0.0011	0.0002	-0.0092	-0.2050	0.0711	0.1045	-0.0149	13.7753	0.0034	-0.8777	3.8120	5.7531	
0.190	0.0026	0.0018	-0.0099	-0.1933	0.0741	0.1200	-0.0149	14.0720	0.0013	-0.8929	3.8101	5.7491	
0.192	0.0023	-0.0014	-0.0120	-0.2062	0.0454	0.1230	-0.0155	13.8177	0.0010	-0.8893	3.8079	5.7446	
0.194	0.0028	0.0007	-0.0105	-0.1933	0.0467	0.1366	-0.0164	13.6600	-0.0012	-0.8728	3.8055	5.7396	
0.196	0.0031	0.0015	-0.0113	-0.2001	0.0192	0.1718	-0.0175	13.8991	-0.0017	-0.9181	3.8028	5.7340	
0.198	0.0016	0.0005	-0.0114	-0.1927	0.0338	0.1502	-0.0185	14.0347	-0.0015	-0.9033	3.7998	5.7281	
0.200	0.0029	0.0017	-0.0124	-0.1921	0.0418	0.1637	-0.0195	13.9720	-0.0025	-0.9119	3.7967	5.7219	
0.202	0.0029	0.0007	-0.0142	-0.2135	0.0223	0.1724	-0.0207	13.7939	-0.0051	-0.9105	3.7935	5.7156	
0.204	0.0032	0.0008	-0.0118	-0.1927	0.0412	0.1896	-0.0220	13.5990	-0.0038	-0.9058	3.7903	5.7091	
0.206	0.0025	0.0028	-0.0123	-0.1915	0.0271	0.2180	-0.0232	13.9889	-0.0035	-0.9149	3.7869	5.7026	
0.208	0.0015	0.0009	-0.0121	-0.1878	0.0454	0.1964	-0.0240	13.9499	-0.0019	-0.9062	3.7836	5.6959	
0.210	0.0031	0.0023	-0.0124	-0.1891	0.0595	0.2057	-0.0249	13.9669	-0.0025	-0.9207	3.7802	5.6893	
0.212	0.0029	0.0000	-0.0139	-0.2056	0.0497	0.2051	-0.0258	13.6651	-0.0038	-0.9129	3.7769	5.6828	
0.214	0.0035	0.0020	-0.0109	-0.1872	0.0436	0.1896	-0.0268	13.7278	-0.0029	-0.9148	3.7738	5.6765	
0.216	0.0033	0.0016	-0.0118	-0.2258	0.0473	0.2186	-0.0278	14.0805	-0.0031	-0.9082	3.7707	5.6703	
0.218	0.0034	0.0026	-0.0106	-0.1970	0.0650	0.2118	-0.0285	13.8380	-0.0017	-0.8900	3.7677	5.6644	
0.220	0.0025	0.0040	-0.0102	-0.1952	0.0638	0.2519	-0.0282	13.8584	-0.0013	-0.9120	3.7649	5.6587	
0.222	0.0023	0.0016	-0.0099	-0.1848	0.0821	0.2266	-0.0269	13.8804	-0.0024	-0.8940	3.7623	5.6534	
0.224	0.0038	0.0033	-0.0102	-0.1707	0.0924	0.2266	-0.0256	13.7753	-0.0009	-0.8990	3.7598	5.6485	
0.226	0.0039	0.0000	-0.0100	-0.1872	0.0985	0.2242	-0.0246	14.0313	-0.0012	-0.8849	3.7576	5.6439	
0.228	0.0043	0.0029	-0.0078	-0.1707	0.1065	0.2112	-0.0241	13.8516	-0.0004	-0.8882	3.7556	5.6398	
0.230	0.0055	0.0025	-0.0072	-0.1970	0.0943	0.2377	-0.0240	14.0364	-0.0012	-0.9006	3.7538	5.6361	
0.232	0.0038	0.0031	-0.0064	-0.1878	0.1425	0.2242	-0.0239	14.0873	-0.0026	-0.8777	3.7523	5.6331	
0.234	0.0049	0.0020	-0.0038	-0.1842	0.1486	0.2402	-0.0233	13.8177	-0.0039	-0.9230	3.7513	5.6308	
0.236	0.0033	0.0004	-0.0053	-0.1878	0.1590	0.2328	-0.0221	13.8109	-0.0030	-0.9079	3.7506	5.6295	
0.238	0.0045	0.0037	-0.0031	-0.1829	0.1498	0.2106	-0.0210	13.8482	-0.0047	-0.9151	3.7505	5.6291	
0.240	0.0045	0.0039	-0.0033	-0.2172	0.1498	0.2340	-0.0206	14.0991	-0.0059	-0.9227	3.7506	5.6294	
0.242	0.0051	0.0040	-0.0014	-0.1787	0.1693	0.2297	-0.0208	13.9771	-0.0065	-0.9048	3.7512	5.6305	
0.244	0.0044	0.0053	-0.0006	-0.1738	0.1358	0.2353	-0.0210	13.9669	-0.0057	-0.9218	3.7522	5.6324	
0.246	0.0037	0.0034	0.0003	-0.1726	0.1321	0.1903	-0.0210	13.8465	-0.0067	-0.9296	3.7535	5.6352	
0.248	0.0059	0.0045	0.0010	-0.1591	0.1181	0.1792	-0.0214	13.7516	-0.0067	-0.9436	3.7551	5.6385	
0.250	0.0059	0.0034	0.0002	-0.1982	0.0827	0.1496	-0.0222	13.8736	-0.0064	-0.9282	3.7570	5.6423	
